Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Lebanon,235.8195147,236.6549636,244.29691,247.2416299,259.293191,260.6183105,,,,,,
Liberia,19.53616881,21.05233857,19.08692141,20.74029346,18.09349746,20.0639672,20.478833,19.55274002,20.92716694,,,
Libya,53.95357123,69.87719075,91.41269883,111.575426,132.0686147,122.1428099,108.5403724,115.1507146,197.3939679,64.41246841,,
St. Lucia,74.2579793,73.62187801,71.85605921,73.30022948,71.62157341,68.88917717,70.11527613,63.21119364,77.13171127,71.1407571,58.99986223,63.1210977
Latin America & Caribbean,55.48789094,56.34636279,58.26870367,59.2955906,62.52925632,62.52407099,62.11468325,63.29310891,72.96095628,68.81175825,67.56269911,70.51515617
Least developed countries: UN classification,34.24165061,35.12027787,37.29664164,40.81697575,40.76135773,41.2954615,42.01130406,44.83777894,50.12123457,48.56452363,47.11710252,
Low income,24.80067501,24.18265805,23.45319382,,,,,,,,,
Liechtenstein,,,,,,,,,,,,
Sri Lanka,41.04535551,43.15058378,45.5725928,49.68539004,52.11386561,54.48891337,56.89195602,59.46206621,,,,
Lower middle income,63.13303147,63.92182586,64.51802185,67.27536095,69.41619946,68.61766561,66.4176582,68.42554067,77.78615349,75.7526655,,
Low & middle income,103.4582548,108.5289129,113.5571764,124.6640381,128.7163325,126.4793298,126.4812035,128.9657395,145.0968464,141.8573759,151.5025438,159.3571302
Lesotho,35.13401984,37.92176039,33.98698227,33.6617216,31.00787735,39.38879132,39.61252917,35.30560023,42.25452193,,,
Late-demographic dividend,123.7985475,130.2409532,137.3301629,155.403656,160.9445238,155.5290038,153.4396124,156.4839365,174.4260868,176.3641406,182.5498343,189.7958004
Lithuania,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,
Latvia,,,,,,,,,,,,
"Macao SAR, China",108.6504584,107.2063934,111.1639698,131.4480103,147.7686006,146.2644462,146.2205554,154.6588779,341.954352,277.3166469,355.9666824,196.4593946
St. Martin (French part),,,,,,,,,,,,
Morocco,107.5292401,105.1363605,108.4649906,106.4853468,109.8848228,110.4624249,110.490578,110.5402856,128.8631472,122.2633891,126.6434551,119.6418151
Monaco,,,,,,,,,,,,
Moldova,47.04788063,52.52320998,49.99307326,43.61816092,44.36736129,43.77993589,44.00341045,43.61114453,53.88723468,49.47703991,45.98229924,49.65714125
Madagascar,22.05871164,21.19368611,21.28641281,22.58242128,23.61242609,25.56239783,25.6080339,24.63114647,28.23752282,27.78123201,28.41422013,27.25648838
Maldives,45.10410631,46.76103998,47.82593946,48.05256987,44.90862801,43.18686853,39.78043813,41.14650215,72.47223614,64.6752386,58.26155227,58.41639579
Middle East & North Africa,60.81200299,64.60222702,70.18710006,80.9393459,85.62017636,83.46995651,,,,,,
Mexico,29.98510736,31.65408004,33.19596884,35.12920261,36.55344349,37.44990477,36.48982087,36.76748874,43.50138123,42.99093586,41.78337993,43.02953618
Marshall Islands,,,,,,,,,,,,
Middle income,104.4079494,109.5832394,114.5449765,125.7533159,129.7225916,127.4328122,127.4145358,129.7330602,145.9969396,142.480496,152.2155113,160.1794356
North Macedonia,54.14448243,51.65987825,53.52374923,54.4005214,54.16974193,54.51953525,56.50596956,58.3279942,65.1791279,65.08414922,61.24400256,58.95817169
Mali,25.90577561,27.22282109,26.55738271,26.83932983,27.70543888,26.92704185,28.50639263,27.86225752,31.5019563,40.34451864,40.83081487,37.73358088
Malta,,,,,,,,,,,,
Myanmar,31.66735296,36.77456379,39.57431421,46.41308867,49.69604402,53.31036763,54.5606988,56.10760612,69.20464294,,,
Middle East & North Africa (excluding high income),64.23388607,66.50909101,73.12743525,82.58182411,90.44500143,,74.32530398,73.57706003,89.39310077,82.74845526,81.19595672,82.01289281
Montenegro,51.9625014,50.57979752,53.71387574,56.4738294,56.97587421,59.19655857,56.29199054,52.13719945,59.35690254,57.9655123,59.61153778,56.78193278
Mongolia,45.61173071,49.29817557,47.84408479,43.89208123,50.80588297,56.62547727,59.77018478,55.0583206,65.36343609,63.97237206,55.0862715,53.41179957
Northern Mariana Islands,,,,,,,,,,,,
Mozambique,39.28538333,41.80244059,46.91957083,51.45460425,48.24605456,45.74761894,46.09262417,48.79611642,59.02526925,56.18141117,53.62700831,50.01373849
Mauritania,21.94317503,24.68436833,27.25286169,27.08677957,25.65966937,27.72894413,28.07500266,28.41432254,,,,
Mauritius,98.56640796,96.87283564,99.30199935,104.0534865,106.7398491,110.4093779,110.9681083,117.5481021,156.7461528,159.9490734,141.1263247,130.434719
Malawi,17.68213771,17.8341201,16.47624277,17.12462029,16.1661314,16.49407473,16.56306716,16.02588295,17.47281485,20.0931499,23.58570242,24.92459277
Malaysia,136.8038681,140.092354,137.1023286,132.8127793,128.5841865,122.5342056,125.0778647,122.9070528,137.0937139,132.547636,119.0039588,123.9399337
North America,87.91685242,88.46316813,89.20015889,88.54950195,89.46471519,89.90179205,88.79648412,92.30055941,109.1174172,114.9809344,103.8161168,99.12791711
Namibia,57.2146681,58.72593496,55.15299087,55.56618011,54.56173934,57.16473721,57.62788281,63.64765915,71.53926047,72.60540182,,
New Caledonia,,,,,,,,,,,,
Niger,16.13566579,16.87636422,19.84834879,19.4475088,19.63432714,17.71301758,15.79431547,17.15775656,19.16575153,20.11598752,19.3426896,18.08373765
Nigeria,24.92823094,25.44804511,22.68961102,22.36682654,27.37878836,24.78141786,25.36246273,23.9296086,25.22161116,25.24143011,25.78868188,
Nicaragua,33.53166716,36.23547396,36.82587719,38.85674455,39.45424947,42.01544726,34.45187164,35.76119263,39.93538123,39.79507202,39.25649887,
Netherlands,,,,,,,,,,,,
Norway,56.9033637,58.63561717,60.81417532,58.15605669,64.98566287,64.64241403,63.1740201,65.31251451,76.11824097,67.33696722,53.83671532,60.20503267
Nepal,67.71797811,74.31554963,75.36051884,86.38039633,94.20586025,89.40497103,95.33178294,97.16987778,117.7494555,120.6567696,113.5930524,120.7897328
Nauru,,,,,,,,,,,,
New Zealand,,92.81648818,95.00286363,99.17226906,100.490703,100.6452374,101.7067916,100.9273958,111.5209962,109.2023859,102.4757473,100.5691629
OECD members,116.8248118,113.5247282,112.6927214,111.4402847,115.539217,114.1059024,113.8992765,116.5222883,134.4221738,135.9794909,123.6905991,116.8863991
Oman,32.46784821,34.23309196,37.20798693,50.04743297,53.39363297,51.68578358,,,,,,
Other small states,,,,,,,,,,,,
Pakistan,46.18634685,46.69871109,46.66555029,48.09478971,50.80430961,51.40771096,51.22329355,51.18358485,54.52638937,51.26238684,46.12265617,42.57173843
Panama,,,,,,,,,,,,
Peru,40.85644495,44.48765853,45.07841228,48.20613085,46.22677087,47.57814236,47.17371699,49.05948197,73.43863468,60.54718013,61.49810023,
Philippines,56.30499088,66.83660253,68.57019746,70.91656388,74.05651792,75.41772137,74.51518725,76.59717596,90.49053168,90.36719081,85.85591954,
Palau,,,,,,,,,,,,
Papua New Guinea,38.23800539,37.9366603,32.76041233,33.61954979,34.46760585,30.62199919,26.91034986,26.6114158,,,,
Poland,56.79867739,59.77055358,61.92417779,63.82681132,67.8189779,66.32337358,67.31946133,67.64343245,77.12425658,74.57458488,67.36746376,66.65299667
Pre-demographic dividend,26.21829525,26.8804093,26.78925289,28.14282193,30.1583508,28.72011368,28.24182383,29.08872957,33.62325526,31.97571183,31.24149291,
Puerto Rico,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,
Portugal,,,,,,,,,,,,
Paraguay,34.0673266,36.46330654,38.71548359,,41.42202057,41.935584,43.06412343,46.06344045,54.17781331,52.01844278,50.03745463,50.89228742
West Bank and Gaza,55.45844268,55.47121005,57.43898106,63.46422796,63.33521581,68.15281717,70.11212529,73.25711923,92.0336548,85.45328885,80.64188102,94.7472118
Pacific island small states,58.3394753,61.86550834,61.04947226,64.1604084,65.56650679,66.35593207,65.58905988,65.80775138,76.52630346,88.48211393,81.35067041,79.1176412
Post-demographic dividend,126.0695951,122.9026259,122.0411037,120.098706,124.167316,123.188823,122.6973449,125.360498,143.864044,145.3979234,133.3833113,126.6782814
French Polynesia,,,,,,,,,,,,
Qatar,56.03114555,62.99899154,67.14445895,88.56012349,90.08567786,102.8873254,84.51593628,90.03290792,114.121316,93.01092916,83.27468937,93.20615601
Romania,35.73676325,38.24210495,39.11940905,40.17294053,41.76604825,41.09459704,39.70939735,39.62465003,45.56250332,47.33961215,43.40149076,41.53098598
Russian Federation,47.2894158,51.20002959,54.29533089,61.82658261,59.44582853,59.52220741,59.11861639,58.87829663,69.9295269,,,
Rwanda,17.24589057,17.98231764,18.94889616,20.81625548,20.28804917,19.70814171,21.73078824,21.35444869,25.14774728,26.08413054,25.57308283,26.76502151
South Asia,71.0801318,72.10898898,72.25246932,72.58548194,69.57684647,69.66838699,69.53141021,72.08101699,81.4632729,77.07262842,,
Saudi Arabia,51.8253798,55.25888092,60.76526751,71.60161706,72.37042927,67.5129723,,,,,,
Sudan,26.01885773,21.15118625,17.63500865,18.34470777,18.84249052,23.4576542,32.73487351,35.24732295,31.88350011,,,
Senegal,28.65143785,29.87129691,31.72897425,35.28982721,37.37748396,37.79341719,40.96283525,41.50894825,45.28718386,48.32679497,52.04368903,52.52126594
Singapore,128.9127791,128.8508362,128.445569,122.8592629,127.5189848,122.3737396,118.5557254,123.0259296,148.4809535,,,
Solomon Islands,35.14398496,36.66869545,36.89825034,40.38142095,43.24870091,42.33511293,40.80992216,38.40296188,42.94509337,45.17097096,45.51544007,45.10720807
Sierra Leone,13.10534796,11.19995899,13.03921446,0.01531903,0.0160392,0.015180101,0.014727295,0.014517155,0.017933399,0.019239199,0.020397035,0.019835293
El Salvador,49.99708834,49.79411606,48.61804998,50.11100965,50.03039168,53.8410714,54.82235547,59.06725986,69.36547168,60.86474506,57.82923029,59.2149062
San Marino,,,,,,,,,,,,
Somalia,,,,,,,,,,,,
Serbia,41.37732118,39.95780845,42.56573854,43.82889141,46.75809102,45.93125826,49.27866803,49.80470052,57.85329258,57.45187749,54.12661087,51.58027565
Sub-Saharan Africa (excluding high income),37.20700459,35.40132714,34.45087739,35.80304123,37.12989009,36.53290288,37.00824323,37.7125944,41.04153207,41.05167025,39.99680601,
South Sudan,18.68368009,11.90815746,19.13297196,39.4658052,65.45944294,23.99619793,23.54594251,18.73456281,26.42262631,34.20165438,28.74820147,32.53000115
